"time_series","sub_time_series","index","mean_value","theil_index","norm_sum_theil_index","norm_prod_theil_index"
"^GSPC","volatility log-return",23907,72556.1353628645,1.44822792409508e-09,3.17805382889972,4.55696473818546e-10
"^GSPC","absolute log-return",23906,183.191235982214,5.89776813927321e-09,3.21887581897043,1.83224469043154e-09
"^GSPC","original",23906,13808590.0571785,2.14113187982907e-06,3.21887368373632,6.65180018218549e-07
"^GSPC","volatility log-return",23906,72552.7754673722,1.68217838908164e-09,3.21887582318602,5.22598099648818e-10
"^GSPC","absolute log-return",23905,183.183572237383,6.47066557189341e-09,3.25809653155082,1.98602634893771e-09
"^GSPC","original",23905,13806600.4584164,2.31440162583336e-06,3.25809422361986,7.1035391334316e-07
"^GSPC","volatility log-return",23905,72549.5981035231,1.76710621749043e-09,3.25809653625438,5.42373805339584e-10
"^GSPC","absolute log-return",23904,183.175776859718,7.61912808904387e-09,3.2958368583852,2.31174308644737e-09
"^GSPC","original",23904,13804607.7510481,2.49547044189603e-06,3.29583437053389,7.57158361700525e-07
"^GSPC","volatility log-return",23904,72546.3958674202,2.02500365924055e-09,3.29583686397933,6.14412588234546e-10
